"","@ in URLs","Attachments","Css","Encoding","External Resources","Flash content","HTML content","Html Form","Html iFrame","IPs in URLs","Javascript","Phishy","URLs"
"0","False","0","0","none","0","False","True","False","False","False","0","True","2"
"1","False","0","0","none","0","False","True","False","False","False","0","True","2"
"2","False","0","0","none","0","False","True","False","False","True","0","True","29"
"3","False","0","0","none","0","False","True","False","False","False","0","True","2"
"4","False","0","0","7bit","0","False","True","False","False","False","0","True","20"
"5","False","0","0","7bit","0","False","True","False","False","False","0","True","58"
"6","False","0","0","none","0","False","True","False","False","False","0","True","2"
"7","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"8","False","0","0","7bit","0","False","True","False","False","False","0","True","28"
"9","False","0","0","7bit","0","False","True","False","False","False","0","True","45"
"10","False","0","0","none","0","False","True","False","False","False","0","True","2"
"11","False","0","0","8bit","0","False","True","False","False","False","0","True","29"
"12","False","0","0","none","0","False","True","False","False","False","0","True","8"
"13","False","0","0","none","0","False","True","False","False","False","0","True","2"
"14","False","0","0","7bit","0","False","True","False","False","True","0","True","8"
"15","False","0","0","none","0","False","True","False","False","False","0","True","2"
"16","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"17","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"18","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"19","False","0","0","none","0","False","True","False","False","False","0","True","18"
"20","False","0","0","7bit","0","False","True","False","False","False","0","True","40"
"21","False","0","0","7bit","0","False","True","False","False","False","0","True","40"
"22","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"23","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"24","False","0","0","none","0","False","True","False","False","False","0","True","2"
"25","False","0","0","none","0","False","True","False","False","False","0","True","2"
"26","False","0","0","none","0","False","False","False","False","False","0","True","1"
"27","False","0","0","8bit","0","False","True","False","False","True","0","True","56"
"28","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"29","False","0","0","none","0","False","True","False","False","False","0","True","3"
"30","False","0","0","none","0","False","True","False","False","False","0","True","3"
"31","False","0","0","none","0","False","False","False","False","False","0","True","1"
"32","False","0","0","none","0","False","True","False","False","False","0","True","2"
"33","False","0","0","7bit","0","False","True","False","False","False","0","True","58"
"34","False","0","0","none","0","False","True","False","False","False","0","True","3"
"35","False","0","0","7bit","0","False","True","False","False","False","0","True","40"
"36","False","0","0","7bit","0","False","True","False","False","False","0","True","58"
"37","False","0","0","7bit","0","False","True","False","False","False","0","True","13"
"38","False","0","0","none","0","False","True","False","False","False","0","True","2"
"39","False","0","0","7bit","0","False","True","False","False","False","0","True","11"
"40","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"41","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"42","False","0","0","7bit","0","False","True","False","False","True","0","True","46"
"43","False","0","0","none","0","False","True","False","False","False","0","True","2"
"44","False","0","0","7bit","0","False","True","False","False","False","0","True","9"
"45","False","0","0","none","0","False","True","False","False","False","0","True","2"
"46","False","0","0","none","0","False","True","False","False","False","0","True","2"
"47","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"48","False","0","0","none","0","False","True","False","False","False","0","True","2"
"49","False","0","0","none","0","False","True","False","False","True","0","True","3"
"50","False","0","0","7bit","0","False","True","False","False","False","0","True","5"
"51","False","0","0","7bit","0","False","True","False","False","False","0","True","11"
"52","False","0","0","7bit","0","False","True","False","False","False","0","True","5"
"53","False","0","0","7bit","0","False","True","False","False","False","0","True","1"
"54","False","0","0","none","0","False","True","False","False","False","0","True","8"
"55","False","0","0","7bit","0","False","True","False","False","False","0","True","47"
"56","False","0","0","none","0","False","True","False","False","False","0","True","2"
"57","False","0","0","7bit","0","False","True","False","False","False","0","True","5"
"58","False","0","0","7bit","0","False","True","False","False","True","0","True","46"
"59","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"60","False","0","0","7bit","0","False","True","False","False","False","0","True","13"
"61","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"62","False","0","0","none","0","False","True","False","False","False","0","True","5"
"63","False","0","0","none","0","False","True","False","False","False","0","True","2"
"64","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"65","False","0","0","8bit","0","False","True","False","False","False","0","True","13"
"66","False","0","0","none","0","False","True","False","False","False","0","True","2"
"67","False","0","0","8bit","0","False","True","False","False","False","0","True","4"
"68","False","0","0","7bit","0","False","True","False","False","True","0","True","8"
"69","False","0","0","7bit","0","False","True","False","False","False","0","True","11"
"70","False","0","0","none","0","False","True","False","False","False","0","True","2"
"71","False","0","1","none","1","False","True","False","False","False","0","True","14"
"72","False","0","0","7bit","0","False","True","False","False","True","0","True","3"
"73","False","0","0","7bit","0","False","True","False","False","True","0","True","3"
"74","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"75","False","0","0","7bit","0","False","True","False","False","True","0","True","3"
"76","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"77","False","0","0","none","0","False","True","False","False","False","0","True","2"
"78","False","0","1","7bit","1","False","True","False","False","False","0","True","6"
"79","False","0","0","7bit","0","False","True","False","False","False","0","True","5"
"80","False","0","1","7bit","1","False","True","False","False","False","0","True","6"
"81","False","0","0","7bit","0","False","True","False","False","False","0","True","46"
"82","False","0","0","7bit","0","False","True","False","False","False","0","True","8"
"83","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"84","False","0","0","none","0","False","True","False","False","False","0","True","12"
"85","False","0","0","7bit","0","False","True","False","False","False","0","True","11"
"86","False","0","0","7bit","0","False","True","False","False","False","0","True","8"
"87","False","0","0","7bit","0","False","True","False","False","False","0","True","46"
"88","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"89","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"90","False","0","0","none","0","False","True","False","False","False","0","True","9"
"91","False","0","0","7bit","0","False","True","False","False","False","0","True","8"
"92","False","0","0","7bit","0","False","True","False","False","False","1","True","16"
"93","False","0","0","7bit","0","False","True","False","False","True","0","True","3"
"94","False","0","0","7bit","0","False","True","False","False","False","0","True","19"
"95","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"96","False","0","0","7bit","0","False","True","False","False","True","0","True","13"
"97","False","0","0","quoted-printable","0","False","True","False","False","False","0","True","1"
"98","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"99","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"100","False","0","0","7bit","0","False","True","False","False","False","0","True","6"
"101","False","0","0","7bit","0","False","True","False","False","False","0","True","6"
"102","False","0","0","none","0","False","True","False","False","False","0","True","2"
"103","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"104","False","0","0","7bit","0","False","True","False","False","False","0","True","13"
"105","False","0","0","7bit","0","False","True","False","False","False","0","True","46"
"106","False","0","0","none","0","False","True","False","False","False","0","True","2"
"107","False","0","0","7bit","0","False","True","False","False","False","0","True","6"
"108","False","0","0","7bit","0","False","True","False","False","False","0","True","8"
"109","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"110","False","0","0","7bit","0","False","True","False","False","True","0","True","3"
"111","False","0","0","7bit","0","False","True","False","False","False","0","True","8"
"112","False","0","0","none","0","False","True","False","False","False","0","True","2"
"113","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"114","False","0","0","none","0","False","True","False","False","False","0","True","2"
"115","False","0","0","none","0","False","True","False","False","False","0","True","2"
"116","False","0","0","7bit","0","False","True","False","False","False","0","True","46"
"117","False","0","0","none","0","False","True","False","False","False","0","True","2"
"118","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"119","False","0","0","none","0","False","True","False","False","False","0","True","2"
"120","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"121","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"122","False","0","0","7bit","0","False","True","False","False","True","0","True","16"
"123","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"124","False","0","0","7bit","0","False","True","False","False","False","0","True","9"
"125","False","0","0","7bit","0","False","True","False","False","False","0","True","5"
"126","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"127","False","0","0","7bit","0","False","True","False","False","False","0","True","18"
"128","False","0","0","7bit","0","False","False","False","False","False","0","True","1"
"129","False","0","0","8bit","0","False","True","False","False","False","0","True","6"
"130","False","0","0","quoted-printable","0","False","True","False","False","False","0","True","3"
"131","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"132","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"133","False","0","0","7bit","0","False","True","True","False","False","0","True","6"
"134","False","0","0","7bit","0","False","True","False","False","True","0","True","3"
"135","False","0","0","7bit","0","False","True","False","False","True","0","True","1"
"136","False","0","0","7bit","0","False","True","False","False","True","0","True","1"
"137","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"138","False","0","0","8bit","0","False","False","False","False","False","0","True","1"
"139","False","0","0","7bit","0","False","True","False","False","False","0","True","1"
"140","False","0","0","7bit","0","False","True","False","False","True","0","True","1"
"141","False","0","0","7bit","0","False","True","False","False","True","0","True","1"
"142","False","0","0","7bit","0","False","True","False","False","False","0","True","5"
"143","False","0","0","7bit","0","False","True","False","False","False","0","True","1"
"144","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"145","False","0","0","7bit","0","False","False","False","False","False","0","True","1"
"146","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"147","False","0","0","none","0","False","True","False","False","False","0","True","2"
"148","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"149","False","0","0","none","0","False","True","False","False","False","0","True","2"
"150","False","0","0","8bit","0","False","False","False","False","False","0","True","1"
"151","False","0","0","7bit","0","False","True","False","False","True","0","True","1"
"152","False","0","0","none","0","False","True","False","False","False","0","True","1"
"153","False","0","0","none","0","False","True","True","False","False","1","True","2"
"154","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"155","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"156","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"157","False","0","0","7bit","0","False","False","False","False","False","0","True","1"
"158","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"159","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"160","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"161","False","0","0","8bit\r\n","0","False","True","False","False","False","0","True","2"
"162","False","0","0","7bit","0","False","True","False","False","False","0","True","2"
"163","False","0","0","7bit","0","False","True","False","False","True","0","True","13"
"164","False","0","0","7bit","0","False","True","False","False","False","0","True","20"
"165","False","0","0","8bit\r\n","0","False","True","False","False","False","0","True","2"
"166","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"167","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"168","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"169","False","0","0","7bit","0","False","True","False","False","False","0","True","7"
"170","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"171","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"172","False","0","0","7bit","0","False","True","False","False","False","0","True","1"
"173","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"174","False","0","0","7bit","0","False","True","False","False","True","0","True","1"
"175","False","0","0","7bit","0","False","True","False","False","False","0","True","5"
"176","False","0","0","7bit","0","False","True","False","False","True","0","True","2"
"177","False","0","0","7bit","0","False","True","False","False","True","0","True","4"
"178","False","0","0","7bit","0","False","True","False","False","False","0","True","5"
"179","False","0","0","7bit","0","False","True","False","False","False","0","True","20"
"180","False","0","0","none","0","False","True","False","False","False","0","True","2"
"181","False","0","0","7bit","0","False","True","False","False","False","0","True","1"
"182","False","0","0","none","0","False","True","False","False","False","0","True","2"
"183","False","0","0","7bit","0","False","True","False","False","False","0","True","20"
"184","False","0","0","7bit","0","False","True","False","False","False","0","True","20"
"185","False","0","0","7bit","0","False","True","False","False","True","0","True","4"
"186","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"187","False","0","0","7bit","0","False","True","False","False","False","0","True","46"
"188","False","0","0","quoted-printable","0","False","True","False","False","True","0","True","2"
"189","False","0","0","none","0","False","True","False","False","False","0","True","2"
"190","False","0","0","none","0","False","True","True","False","False","1","True","2"
"191","False","0","0","none","0","False","True","True","False","False","1","True","2"
"192","False","0","0","7bit","0","False","True","False","False","False","0","True","20"
"193","False","0","0","7bit","0","False","True","False","False","False","0","True","1"
"194","False","0","0","7bit","0","False","True","False","False","True","0","True","4"
"195","False","0","0","7bit","0","False","True","False","False","False","0","True","3"
"196","False","0","0","7bit","0","False","False","False","False","True","0","True","1"
"197","False","0","0","none","0","False","True","False","False","False","0","True","2"
"198","False","0","0","none","0","False","True","False","False","False","0","True","2"
"199","False","0","0","7bit","0","False","True","False","False","True","0","True","3"
